date,open,high,low,close
17/03/2022,201.699997,208.039993,201.110001,207.839996
18/03/2022,206.699997,216.800003,206,216.490005
21/03/2022,214.5,214.710007,207.630005,211.490005
22/03/2022,211.369995,219.460007,210.179993,216.649994
23/03/2022,213.330002,216.800003,212.160004,213.460007
24/03/2022,215,220.669998,214.789993,219.570007
25/03/2022,220.509995,225.5,218.889999,221.820007
28/03/2022,222.130005,224.039993,219.539993,223.589996
29/03/2022,226.070007,230.889999,225.289993,229.860001
30/03/2022,228.910004,231.149994,226.710007,227.850006
31/03/2022,228.449997,228.490005,222.259995,222.360001
01/04/2022,224.550003,227.279999,222.699997,224.850006
04/04/2022,225.979996,234.350006,225.860001,233.889999
05/04/2022,234.080002,236.860001,231.020004,231.839996
06/04/2022,226.910004,228.990005,221.410004,223.300003
07/04/2022,223.929993,225.520004,218.559998,222.949997
08/04/2022,222.380005,225.130005,220.029999,222.330002
11/04/2022,218.419998,220.610001,215.220001,216.460007
12/04/2022,220.240005,222.029999,213.130005,214.139999
13/04/2022,211.820007,216.610001,211.330002,214.990005
14/04/2022,214.889999,214.990005,210,210.179993
18/04/2022,210,213.380005,208.300003,210.770004
19/04/2022,210.520004,218.429993,209,217.309998
20/04/2022,213.610001,214.160004,198.919998,200.419998
21/04/2022,201.600006,202.970001,185.580002,188.070007
22/04/2022,190.369995,192.720001,183.270004,184.110001
25/04/2022,182.729996,187.179993,181.660004,186.990005
26/04/2022,186.630005,187.190002,179.5,180.949997
27/04/2022,174.429993,181.210007,169,174.949997
28/04/2022,202.919998,208.529999,192.899994,205.729996
29/04/2022,204.460007,212.479996,199.899994,200.470001
02/05/2022,201.169998,211.880005,200.990005,211.130005
03/05/2022,210.449997,214.899994,208.089996,212.029999
04/05/2022,210.649994,224.300003,206.960007,223.410004
05/05/2022,218.740005,220.169998,206.160004,208.279999
06/05/2022,207.339996,209.380005,201.020004,203.770004
09/05/2022,199.839996,202.570007,195.580002,196.210007
10/05/2022,199.509995,202.960007,194.190002,197.649994
11/05/2022,196.330002,200.669998,188.270004,188.740005
12/05/2022,187.059998,198.050003,184.779999,191.240005
13/05/2022,192.580002,199.889999,191.279999,198.619995
16/05/2022,197.050003,205.369995,195.929993,200.039993
17/05/2022,202.119995,205.460007,198.360001,202.619995
18/05/2022,200,201,191.630005,192.240005
19/05/2022,191.199997,195.289993,189.600006,191.289993
20/05/2022,194.970001,197.910004,187.869995,193.539993
23/05/2022,195.190002,196.990005,191.240005,196.229996
24/05/2022,180.550003,183.679993,176.110001,181.279999
25/05/2022,180.399994,185.449997,179.320007,183.830002
26/05/2022,182.880005,192.830002,182.259995,191.630005
27/05/2022,191.360001,195.330002,189.800003,195.130005
31/05/2022,194.889999,197.600006,192.009995,193.639999
01/06/2022,196.509995,199.529999,185,188.639999
02/06/2022,188.449997,200.940002,187.729996,198.860001
03/06/2022,195.979996,196.610001,189.779999,190.779999
06/06/2022,193.990005,196.919998,188.399994,194.25
07/06/2022,191.929993,196.529999,191.490005,195.649994
08/06/2022,194.669998,202.029999,194.410004,196.639999
09/06/2022,194.279999,199.449997,183.679993,184
10/06/2022,183.039993,183.100006,175.020004,175.570007
13/06/2022,170.589996,172.580002,164.029999,164.259995
14/06/2022,166.029999,166.75,161.360001,163.729996
15/06/2022,167.199997,172.160004,163.979996,169.350006
16/06/2022,163.720001,165.080002,159.610001,160.869995
17/06/2022,161.679993,165.899994,159.899994,163.740005
21/06/2022,165.929993,167.759995,155.970001,157.050003
22/06/2022,158.380005,160.789993,155.440002,155.850006
23/06/2022,156.270004,159.75,154.25,158.75
24/06/2022,161.729996,170.25,161.300003,170.160004
27/06/2022,171.320007,171.75,168.009995,169.490005
28/06/2022,169.899994,171.300003,160.610001,160.679993
29/06/2022,163.570007,166.330002,160.320007,163.940002
